"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64","x65","x66","x67","x68","x69","x70","x71","x72","x73","x74","x75","x76","x77","x78","x79","x80","x81","x82","x83","x84","x85","x86","x87","x88","x89","x90","x91","x92","x93","x94","x95","x96","x97","x98","x99","x100","x101","feature","no_nas","color"
931.0,931.0,930.059082031,929.038635254,928.10748291,927.082824707,925.991821289,924.998413086,923.889709473,922.971740723,922.018920898,921.028442383,920.172302246,919.42755127,918.58404541,917.77520752,916.882141113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bush1","18","#97D938"
554.0,554.0,553.119812012,552.10534668,551.183837891,550.205871582,549.170898438,548.242736816,547.166564941,546.29901123,545.513183594,544.588378906,543.873962402,543.145568848,542.364135742,541.632751465,540.798400879,539.784851074,538.882995605,537.869506836,536.885681152,535.908874512,534.928039551,534.009460449,533.155090332,532.221557617,531.455505371,530.709350586,529.859924316,529.028930664,528.222290039,527.44720459,526.802185059,526.087402344,525.254455566,524.631408691,523.815490723,522.961181641,522.204345703,521.303405762,520.444030762,519.770751953,518.725036621,517.946899414,517.323059082,516.360961914,515.670288086,514.900512695,514.028137207,513.298034668,512.515625,511.759155273,511.138214111,510.496429443,509.543243408,508.862976074,508.018554688,507.181640625,506.282196045,505.341094971,504.556762695,503.931182861,503.152252197,502.347686768,501.69833374,500.805480957,500.145599365,499.508453369,498.796630859,498.230743408,497.658843994,496.941497803,496.494049072,495.8074646,495.057159424,494.201965332,493.450866699,492.677642822,491.906890869,491.14855957,490.4949646,489.797393799,488.926055908,488.241760254,487.478820801,486.610748291,485.971343994,485.307647705,484.623748779,484.092498779,483.287689209,482.390991211,481.617645264,480.584869385,479.596801758,478.83291626,477.936126709,476.958190918,476.021484375,475.162811279,474.313476562,"lamppost1","102","#3A526C"
942.0,942.0,941.050964355,940.017272949,939.092895508,938.075012207,936.953552246,935.957275391,934.825256348,933.89654541,932.909484863,931.902038574,931.036560059,930.231445312,929.357849121,928.588012695,927.721069336,930.199157715,929.165527344,928.02532959,926.973266602,925.821960449,924.708435059,923.714355469,922.619689941,921.474121094,920.456970215,919.478027344,918.352539062,917.282104492,916.49005127,915.398864746,914.886779785,913.952453613,912.959716797,912.237060547,911.220581055,910.073669434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bush1","39","#97D938"
1019.0,1019.0,1018.01586914,1017.01696777,1016.04797363,1015.04626465,1013.91204834,1012.89434814,1011.72961426,1010.76525879,1009.80224609,1008.80004883,1007.95184326,1007.10742188,1006.24981689,1005.40960693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bush1","17","#97D938"
248.0,248.0,247.740615845,247.218093872,246.917663574,246.533874512,246.053588867,245.716415405,245.167373657,244.900558472,244.65763855,244.274749756,244.113250732,243.985778809,243.75718689,243.568847656,243.312484741,242.881713867,242.552368164,242.09928894,241.68737793,241.269119263,240.875473022,240.476333618,240.176620483,239.808380127,239.609191895,239.393981934,239.128143311,238.786361694,238.556442261,238.241485596,238.16784668,238.023529053,237.761672974,237.604568481,237.279769897,236.879821777,236.602432251,236.160095215,235.806503296,235.582336426,235.06312561,234.756607056,234.589233398,234.104949951,233.786407471,233.388381958,233.046447754,232.741882324,232.380813599,232.001708984,231.852050781,231.47102356,230.987503052,230.705551147,230.28225708,229.905197144,229.418624878,228.921661377,228.456481934,228.176635742,227.867919922,227.514892578,227.161605835,226.726013184,226.428619385,226.223495483,225.979919434,225.849151611,225.65814209,225.34387207,225.362884521,225.073165894,224.77796936,224.405029297,224.043991089,223.687408447,223.323028564,222.973999023,222.679458618,222.398132324,221.96182251,221.687866211,221.269958496,220.858840942,220.731002808,220.536865234,220.261688232,220.250839233,220.009475708,219.523071289,219.260696411,218.830001831,218.380813599,218.11315918,217.741241455,217.25378418,216.983032227,216.56918335,216.236709595,"tower","102","#B7B282"
996.0,996.0,995.092346191,994.062988281,993.147705078,992.167602539,991.062988281,990.128417969,989.018066406,988.12701416,987.265380859,986.314147949,985.584533691,984.868103027,984.045959473,983.25213623,982.435546875,981.354187012,980.437194824,979.383117676,978.396911621,977.418640137,976.493408203,975.598754883,974.715881348,973.774291992,972.979431152,972.106506348,971.232788086,970.299194336,969.507019043,968.679931641,968.031982422,967.184082031,966.335327148,965.727172852,964.827270508,963.92401123,963.022155762,962.131774902,961.240661621,960.375061035,959.310302734,958.447265625,957.732421875,956.761474609,955.950500488,955.035644531,954.17590332,953.353271484,952.531921387,951.671875,950.930603027,950.136352539,949.17578125,948.347961426,947.340637207,946.455871582,945.407409668,944.311950684,943.212097168,942.430358887,941.52142334,940.727661133,939.794067383,938.849609375,937.982727051,937.123657227,936.313903809,948.896179199,948.100708008,947.299072266,946.783874512,945.899536133,944.970031738,944.001647949,942.999572754,942.028686523,941.079345703,940.102539062,939.214782715,938.315673828,937.269470215,936.40045166,935.39642334,934.326782227,933.684020996,932.922058105,932.079711914,931.487731934,930.662536621,929.632995605,928.797058105,927.70715332,926.733459473,925.864562988,924.867492676,923.820861816,922.89440918,921.867126465,920.943359375,"bush1","102","#97D938"
970.0,970.0,969.078491211,968.065979004,967.155944824,966.177246094,965.082397461,964.140808105,963.024597168,962.119140625,961.209899902,960.250061035,959.494750977,958.765380859,957.944213867,957.117492676,956.268371582,955.237915039,954.291748047,953.204345703,952.215148926,951.242675781,950.295715332,949.395935059,948.496032715,947.501037598,946.73626709,945.883361816,944.983581543,944.001220703,943.154052734,942.278869629,941.669921875,940.87487793,940.005554199,939.297119141,938.412536621,937.450256348,936.594360352,935.674499512,934.743896484,933.927124023,932.883422852,931.95098877,931.203613281,930.20880127,929.403808594,928.542358398,927.659362793,926.838317871,925.981506348,925.045227051,924.432617188,923.584716797,922.595825195,921.781188965,920.806884766,919.836242676,918.79083252,917.682128906,916.637023926,915.853637695,914.905883789,914.000366211,913.066467285,912.039001465,911.15045166,910.388061523,925.721618652,938.43170166,937.716003418,936.895141602,936.28302002,935.395080566,934.50189209,933.512390137,932.474609375,931.497375488,930.549926758,929.537231445,928.631774902,927.761169434,926.675109863,925.780822754,924.768371582,923.707885742,922.972717285,922.164367676,921.323913574,920.765380859,919.897094727,918.842590332,917.999267578,916.910888672,915.901611328,915.023010254,914.00189209,912.922058105,912.028747559,910.98236084,910.024841309,"bush1","102","#97D938"
258.0,258.0,257.699645996,257.179138184,256.845245361,256.497436523,256.010284424,255.727920532,255.226470947,254.949249268,254.728118896,254.432113647,254.265151978,254.120895386,253.903167725,253.7293396,253.559906006,253.115463257,252.813568115,252.405593872,251.979751587,251.637512207,251.22505188,250.846160889,250.611526489,250.22769165,250.061691284,249.893966675,249.66947937,249.328125,249.186660767,248.95614624,248.976486206,248.843994141,248.56187439,248.468383789,248.224212646,247.865386963,247.745239258,247.389404297,247.090744019,246.933883667,246.588470459,246.296798706,246.188995361,245.868804932,245.677093506,245.492156982,245.196853638,245.001708984,244.834350586,244.484283447,244.459838867,244.153594971,243.750747681,243.54850769,243.234924316,242.904785156,242.564117432,242.152389526,241.785369873,241.677261353,241.467834473,241.189575195,240.983108521,240.644134521,240.379104614,240.247970581,240.011123657,239.85005188,239.681213379,239.377944946,239.398483276,239.061477661,238.817123413,238.469482422,238.122131348,237.765274048,237.488067627,237.117340088,236.839447021,236.61038208,236.188369751,235.880111694,235.534881592,235.110733032,234.968658447,234.79335022,234.516891479,234.498321533,234.279663086,233.756271362,233.545288086,233.051223755,232.659378052,232.371063232,232.018951416,231.564956665,231.30078125,230.885055542,230.605300903,"tower","102","#B7B282"
220.0,220.0,219.397232056,218.64805603,218.07850647,217.428436279,216.7447052,216.190704346,215.457473755,214.984924316,214.505187988,213.952728271,213.534408569,213.110321045,212.643783569,212.24810791,211.8334198,211.160888672,210.640426636,209.969894409,209.311859131,208.723556519,208.06539917,207.470214844,206.959213257,206.36038208,205.949874878,205.532714844,205.08253479,204.546569824,204.149124146,203.747451782,203.529159546,203.247634888,202.913208008,202.731918335,202.377670288,201.907287598,201.652572632,201.25793457,200.908706665,200.725921631,200.291290283,199.995330811,199.880661011,199.4793396,199.227218628,198.982559204,198.678543091,198.437347412,198.186630249,197.854049683,197.796508789,197.502578735,197.03855896,196.820037842,196.428726196,196.055160522,195.608337402,195.119277954,194.713882446,194.486206055,194.172409058,193.854934692,193.531234741,193.05809021,192.797988892,192.600601196,192.290847778,192.24911499,192.009277344,191.756256104,191.700942993,191.299926758,190.928283691,190.485992432,190.050231934,189.633972168,189.204559326,188.773986816,188.421218872,188.120330811,187.608215332,187.255310059,186.834442139,186.348983765,186.194015503,185.996841431,185.710922241,185.673461914,185.38822937,184.908065796,184.668930054,184.144638062,183.731536865,183.413986206,183.043792725,182.56817627,182.249664307,181.882171631,181.483764648,"cable2","102","#353636"
342.0,342.0,341.563842773,340.968719482,340.454986572,339.896636963,339.224609375,338.746032715,337.99887085,337.526672363,337.044403076,336.516845703,336.134002686,335.836761475,335.447021484,335.070709229,334.635803223,334.036560059,333.473022461,332.864685059,332.245880127,331.768493652,331.152770996,330.686309814,330.19241333,329.669219971,329.255371094,328.900878906,328.400390625,327.899230957,327.489837646,327.047729492,326.824432373,326.433288574,325.990722656,325.734588623,325.248138428,324.725616455,324.30770874,323.789459229,323.235656738,322.910797119,322.287384033,321.84463501,321.539550781,320.965789795,320.572479248,320.068603516,319.626739502,319.208312988,318.825531006,318.325134277,318.105804443,317.707794189,317.085632324,316.730743408,316.170318604,315.695800781,315.046569824,314.385101318,313.832611084,313.431915283,312.992095947,312.48260498,312.017700195,311.397979736,310.99130249,310.668457031,310.215362549,309.978637695,309.66003418,309.194122314,309.076019287,308.57043457,308.075653076,307.656555176,307.053985596,306.50604248,305.986663818,305.39276123,304.93359375,304.463562012,303.889129639,303.425872803,302.818023682,302.231536865,301.95526123,301.617767334,301.179138184,301.002197266,300.60043335,299.938964844,299.549316406,298.881164551,298.326629639,297.86706543,297.287200928,296.684356689,296.228515625,295.639953613,295.137969971,"tree4","102","#25C50C"
272.0,272.0,271.669952393,271.174865723,270.852935791,270.49786377,270.001068115,269.709991455,269.167205811,268.918365479,268.670593262,268.354370117,268.16998291,268.054870605,267.807800293,267.618041992,267.421447754,266.981719971,266.64465332,266.207824707,265.822021484,265.424591064,265.067108154,264.695007324,264.405181885,264.030700684,263.88458252,263.692993164,263.433013916,263.079223633,262.928894043,262.694641113,262.70111084,262.514526367,262.21572876,262.114868164,261.910125732,261.543701172,261.32208252,261.005371094,260.703216553,260.513366699,260.150512695,259.882385254,259.752258301,259.389282227,259.168151855,258.958862305,258.688659668,258.458007812,258.270874023,257.922943115,257.916595459,257.636413574,257.191833496,256.984802246,256.677001953,256.319702148,255.960830688,255.540588379,255.124694824,254.98878479,254.788787842,254.490875244,254.229919434,253.895370483,253.641830444,253.495666504,253.245620728,253.120147705,252.938613892,252.680053711,252.702209473,252.348068237,252.094665527,251.757598877,251.373687744,251.021377563,250.730392456,250.350540161,250.053833008,249.824813843,249.39213562,249.077575684,248.709564209,248.295135498,248.148712158,247.969696045,247.702758789,247.705123901,247.437637329,246.914733887,246.659057617,246.089187622,245.650314331,245.223922729,244.749481201,244.175872803,243.752410889,243.155715942,242.784591675,"tower","102","#B7B282"
978.0,978.0,977.067871094,976.023376465,975.101318359,974.106262207,972.985534668,971.995666504,970.874206543,969.918884277,968.983337402,967.99230957,967.139953613,966.358337402,965.535766602,964.719177246,963.612731934,970.096313477,969.103393555,967.979187012,966.962890625,965.891601562,964.871582031,963.899719238,962.910766602,961.856689453,960.995300293,960.07623291,959.098449707,958.103881836,957.175964355,956.249633789,955.629638672,954.768066406,953.81463623,952.980651855,952.027099609,951.027587891,950.147521973,949.040405273,948.049316406,947.183959961,946.05657959,945.048400879,944.320129395,943.242614746,942.391357422,941.475524902,940.464111328,939.576171875,938.722106934,937.828857422,937.048400879,936.148071289,935.091796875,934.157531738,933.09161377,932.102111816,931.01361084,929.906982422,928.824279785,927.932495117,926.945739746,925.949401855,924.954833984,923.855651855,922.921936035,922.044799805,971.380981445,969.659973145,968.844482422,967.910583496,967.219177246,966.309326172,965.344482422,964.281066895,963.232727051,962.216796875,961.163330078,960.08013916,959.094177246,958.141967773,956.981628418,956.04888916,954.988037109,953.877502441,953.075561523,952.265014648,951.359130859,950.720275879,949.825866699,948.733093262,947.870910645,946.67376709,945.687683105,944.61151123,943.532104492,942.331970215,941.351623535,940.355285645,939.286621094,"bush1","102","#97D938"
284.0,284.0,283.701324463,283.185546875,282.881286621,282.498931885,282.017700195,281.735137939,281.228759766,280.958221436,280.742919922,280.460235596,280.291412354,280.165679932,279.934417725,279.765808105,279.592895508,279.152648926,278.850738525,278.43270874,278.030975342,277.669403076,277.269561768,276.893493652,276.646514893,276.273223877,276.105865479,275.945495605,275.724517822,275.40802002,275.252807617,275.02230835,275.018218994,274.88861084,274.609405518,274.534820557,274.306365967,273.980163574,273.809631348,273.476989746,273.168487549,273.008117676,272.669677734,272.373291016,272.279937744,271.956298828,271.759521484,271.588256836,271.294372559,271.103668213,270.923095703,270.585845947,270.578918457,270.261474609,269.870178223,269.655761719,269.338012695,269.020019531,268.669830322,268.267089844,267.903076172,267.789916992,267.601989746,267.310272217,267.110839844,266.775360107,266.53338623,266.394989014,266.121368408,265.972015381,265.813079834,265.55279541,265.523468018,265.211639404,264.956848145,264.617095947,264.273620605,263.925140381,263.651855469,263.285522461,262.995361328,262.770996094,262.374816895,262.061126709,261.724609375,261.302398682,261.153564453,260.968231201,260.704925537,260.70425415,260.472412109,259.959106445,259.74810791,259.258300781,258.879638672,258.61138916,258.226257324,257.802520752,257.529724121,257.122802734,256.817749023,"tower","102","#B7B282"
